[2025-10-18T21:20:28.473+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-18T21:20:29.005+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:20:26.754339+00:00 [queued]>
[2025-10-18T21:20:29.115+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:20:26.754339+00:00 [queued]>
[2025-10-18T21:20:29.123+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-18T21:20:29.261+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): collect_jobspy> on 2025-10-18 21:20:26.754339+00:00
[2025-10-18T21:20:29.319+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3528) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-18T21:20:29.307+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'jobs_jobspy_daily', 'collect_jobspy', 'manual__2025-10-18T21:20:26.754339+00:00', '--job-id', '84', '--raw', '--subdir', 'DAGS_FOLDER/jobs_jobspy_daily.py', '--cfg-path', '/tmp/tmpmi7tuhyv']
[2025-10-18T21:20:29.334+0000] {standard_task_runner.py:64} INFO - Started process 3530 to run task
[2025-10-18T21:20:29.336+0000] {standard_task_runner.py:91} INFO - Job 84: Subtask collect_jobspy
[2025-10-18T21:20:29.813+0000] {task_command.py:426} INFO - Running <TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:20:26.754339+00:00 [running]> on host 68cd41389e54
[2025-10-18T21:20:30.727+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='jobs_jobspy_daily' AIRFLOW_CTX_TASK_ID='collect_jobspy' AIRFLOW_CTX_EXECUTION_DATE='2025-10-18T21:20:26.754339+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-18T21:20:26.754339+00:00'
[2025-10-18T21:20:30.735+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-18T21:20:30.888+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-10-18T21:20:30.897+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', "python -u /workspace/scripts/jobspy_collect.py --queries ' ,engineer,developer,manager,architect,cloud,ai,data,hr,finance,marketing,sales,security,analyst,consultant,full stack,frontend,backend,devops,product,project' --locations 'France,Remote,Paris,Lyon' --countries 'france,canada' --sites indeed --pages 3 --days 1 --append 1 --outfile jobspy_all.jsonl"]
[2025-10-18T21:20:30.920+0000] {subprocess.py:86} INFO - Output:
[2025-10-18T21:20:35.510+0000] {subprocess.py:93} INFO - [INFO] Output file: /workspace/datalake/raw/jobs/jobspy_all.jsonl
[2025-10-18T21:20:38.770+0000] {subprocess.py:93} INFO - [OK] 150 rows for '(all)' @ France (france)
[2025-10-18T21:20:39.220+0000] {subprocess.py:93} INFO - [WARN] 0 rows for '(all)' @ France (canada)
[2025-10-18T21:20:39.894+0000] {subprocess.py:93} INFO - [OK] 6 rows for '(all)' @ Remote (france)
[2025-10-18T21:20:42.034+0000] {subprocess.py:93} INFO - [OK] 33 rows for '(all)' @ Remote (canada)
[2025-10-18T21:20:45.474+0000] {subprocess.py:93} INFO - [OK] 150 rows for '(all)' @ Paris (france)
[2025-10-18T21:20:49.225+0000] {subprocess.py:93} INFO - [OK] 150 rows for '(all)' @ Paris (canada)
[2025-10-18T21:20:53.133+0000] {subprocess.py:93} INFO - [OK] 150 rows for '(all)' @ Lyon (france)
[2025-10-18T21:20:54.548+0000] {subprocess.py:93} INFO - [OK] 1 rows for '(all)' @ Lyon (canada)
[2025-10-18T21:20:55.115+0000] {subprocess.py:93} INFO - [OK] 4 rows for 'engineer' @ France (france)
[2025-10-18T21:20:55.347+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'engineer' @ France (canada)
[2025-10-18T21:20:55.529+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'engineer' @ Remote (france)
[2025-10-18T21:20:56.249+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'engineer' @ Remote (canada)
[2025-10-18T21:20:56.569+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'engineer' @ Paris (france)
[2025-10-18T21:20:57.326+0000] {subprocess.py:93} INFO - [OK] 11 rows for 'engineer' @ Paris (canada)
[2025-10-18T21:20:57.727+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'engineer' @ Lyon (france)
[2025-10-18T21:20:57.964+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'engineer' @ Lyon (canada)
[2025-10-18T21:20:58.535+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'developer' @ France (france)
[2025-10-18T21:20:58.773+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'developer' @ France (canada)
[2025-10-18T21:20:59.014+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'developer' @ Remote (france)
[2025-10-18T21:21:00.079+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'developer' @ Remote (canada)
[2025-10-18T21:21:00.582+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'developer' @ Paris (france)
[2025-10-18T21:21:01.710+0000] {subprocess.py:93} INFO - [OK] 10 rows for 'developer' @ Paris (canada)
[2025-10-18T21:21:02.347+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'developer' @ Lyon (france)
[2025-10-18T21:21:02.703+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'developer' @ Lyon (canada)
[2025-10-18T21:21:05.364+0000] {subprocess.py:93} INFO - [OK] 131 rows for 'manager' @ France (france)
[2025-10-18T21:21:05.656+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'manager' @ France (canada)
[2025-10-18T21:21:06.103+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'manager' @ Remote (france)
[2025-10-18T21:21:07.583+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'manager' @ Remote (canada)
[2025-10-18T21:21:08.672+0000] {subprocess.py:93} INFO - [OK] 39 rows for 'manager' @ Paris (france)
[2025-10-18T21:21:12.270+0000] {subprocess.py:93} INFO - [OK] 106 rows for 'manager' @ Paris (canada)
[2025-10-18T21:21:12.798+0000] {subprocess.py:93} INFO - [OK] 7 rows for 'manager' @ Lyon (france)
[2025-10-18T21:21:13.738+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'manager' @ Lyon (canada)
[2025-10-18T21:21:15.319+0000] {subprocess.py:93} INFO - [OK] 46 rows for 'architect' @ France (france)
[2025-10-18T21:21:15.733+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'architect' @ France (canada)
[2025-10-18T21:21:16.039+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'architect' @ Remote (france)
[2025-10-18T21:21:17.096+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'architect' @ Remote (canada)
[2025-10-18T21:21:17.750+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'architect' @ Paris (france)
[2025-10-18T21:21:18.801+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'architect' @ Paris (canada)
[2025-10-18T21:21:19.548+0000] {subprocess.py:93} INFO - [OK] 12 rows for 'architect' @ Lyon (france)
[2025-10-18T21:21:19.848+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'architect' @ Lyon (canada)
[2025-10-18T21:21:21.689+0000] {subprocess.py:93} INFO - [OK] 58 rows for 'cloud' @ France (france)
[2025-10-18T21:21:21.977+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'cloud' @ France (canada)
[2025-10-18T21:21:22.165+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'cloud' @ Remote (france)
[2025-10-18T21:21:22.962+0000] {subprocess.py:93} INFO - [OK] 10 rows for 'cloud' @ Remote (canada)
[2025-10-18T21:21:23.621+0000] {subprocess.py:93} INFO - [OK] 17 rows for 'cloud' @ Paris (france)
[2025-10-18T21:21:24.510+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'cloud' @ Paris (canada)
[2025-10-18T21:21:25.386+0000] {subprocess.py:93} INFO - [OK] 16 rows for 'cloud' @ Lyon (france)
[2025-10-18T21:21:25.673+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'cloud' @ Lyon (canada)
[2025-10-18T21:21:26.858+0000] {subprocess.py:93} INFO - [OK] 36 rows for 'ai' @ France (france)
[2025-10-18T21:21:27.094+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ai' @ France (canada)
[2025-10-18T21:21:27.630+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'ai' @ Remote (france)
[2025-10-18T21:21:28.614+0000] {subprocess.py:93} INFO - [OK] 8 rows for 'ai' @ Remote (canada)
[2025-10-18T21:21:29.651+0000] {subprocess.py:93} INFO - [OK] 18 rows for 'ai' @ Paris (france)
[2025-10-18T21:21:30.250+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'ai' @ Paris (canada)
[2025-10-18T21:21:30.725+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'ai' @ Lyon (france)
[2025-10-18T21:21:30.944+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'ai' @ Lyon (canada)
[2025-10-18T21:21:31.761+0000] {subprocess.py:93} INFO - [OK] 19 rows for 'data' @ France (france)
[2025-10-18T21:21:32.001+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'data' @ France (canada)
[2025-10-18T21:21:32.207+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'data' @ Remote (france)
[2025-10-18T21:21:33.129+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'data' @ Remote (canada)
[2025-10-18T21:21:33.643+0000] {subprocess.py:93} INFO - [OK] 9 rows for 'data' @ Paris (france)
[2025-10-18T21:21:34.608+0000] {subprocess.py:93} INFO - [OK] 13 rows for 'data' @ Paris (canada)
[2025-10-18T21:21:35.039+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'data' @ Lyon (france)
[2025-10-18T21:21:35.283+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'data' @ Lyon (canada)
[2025-10-18T21:21:35.875+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'hr' @ France (france)
[2025-10-18T21:21:36.114+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'hr' @ France (canada)
[2025-10-18T21:21:36.314+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'hr' @ Remote (france)
[2025-10-18T21:21:36.820+0000] {subprocess.py:93} INFO - [OK] 2 rows for 'hr' @ Remote (canada)
[2025-10-18T21:21:37.253+0000] {subprocess.py:93} INFO - [OK] 5 rows for 'hr' @ Paris (france)
[2025-10-18T21:21:38.007+0000] {subprocess.py:93} INFO - [OK] 12 rows for 'hr' @ Paris (canada)
[2025-10-18T21:21:38.313+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'hr' @ Lyon (france)
[2025-10-18T21:21:38.579+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'hr' @ Lyon (canada)
[2025-10-18T21:21:42.170+0000] {subprocess.py:93} INFO - [OK] 150 rows for 'finance' @ France (france)
[2025-10-18T21:21:42.461+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'finance' @ France (canada)
[2025-10-18T21:21:42.688+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'finance' @ Remote (france)
[2025-10-18T21:21:42.986+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'finance' @ Remote (canada)
[2025-10-18T21:21:44.134+0000] {subprocess.py:93} INFO - [OK] 46 rows for 'finance' @ Paris (france)
[2025-10-18T21:21:44.913+0000] {subprocess.py:93} INFO - [OK] 11 rows for 'finance' @ Paris (canada)
[2025-10-18T21:21:45.720+0000] {subprocess.py:93} INFO - [OK] 26 rows for 'finance' @ Lyon (france)
[2025-10-18T21:21:45.951+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'finance' @ Lyon (canada)
[2025-10-18T21:21:48.646+0000] {subprocess.py:93} INFO - [OK] 123 rows for 'marketing' @ France (france)
[2025-10-18T21:21:49.047+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'marketing' @ France (canada)
[2025-10-18T21:21:49.548+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'marketing' @ Remote (france)
[2025-10-18T21:21:50.517+0000] {subprocess.py:93} INFO - [OK] 3 rows for 'marketing' @ Remote (canada)
[2025-10-18T21:21:51.942+0000] {subprocess.py:93} INFO - [OK] 57 rows for 'marketing' @ Paris (france)
[2025-10-18T21:21:52.679+0000] {subprocess.py:93} INFO - [OK] 11 rows for 'marketing' @ Paris (canada)
[2025-10-18T21:21:53.256+0000] {subprocess.py:93} INFO - [OK] 10 rows for 'marketing' @ Lyon (france)
[2025-10-18T21:21:53.526+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'marketing' @ Lyon (canada)
[2025-10-18T21:21:56.328+0000] {subprocess.py:93} INFO - [OK] 150 rows for 'sales' @ France (france)
[2025-10-18T21:21:56.569+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'sales' @ France (canada)
[2025-10-18T21:21:56.759+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'sales' @ Remote (france)
[2025-10-18T21:21:57.527+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'sales' @ Remote (canada)
[2025-10-18T21:22:00.587+0000] {subprocess.py:93} INFO - [OK] 150 rows for 'sales' @ Paris (france)
[2025-10-18T21:22:02.360+0000] {subprocess.py:93} INFO - [OK] 38 rows for 'sales' @ Paris (canada)
[2025-10-18T21:22:03.461+0000] {subprocess.py:93} INFO - [OK] 46 rows for 'sales' @ Lyon (france)
[2025-10-18T21:22:03.714+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'sales' @ Lyon (canada)
[2025-10-18T21:22:04.760+0000] {subprocess.py:93} INFO - [OK] 33 rows for 'security' @ France (france)
[2025-10-18T21:22:05.042+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'security' @ France (canada)
[2025-10-18T21:22:05.272+0000] {subprocess.py:93} INFO - [WARN] 0 rows for 'security' @ Remote (france)
[2025-10-18T21:22:05.827+0000] {subprocess.py:93} INFO - [OK] 1 rows for 'security' @ Remote (canada)
[2025-10-18T21:22:06.338+0000] {subprocess.py:93} INFO - [OK] 12 rows for 'security' @ Paris (france)
[2025-10-18T21:22:07.545+0000] {subprocess.py:93} INFO - [OK] 15 rows for 'security' @ Paris (canada)
[2025-10-18T21:22:08.030+0000] {subprocess.py:93} INFO - [OK] 6 rows for 'security' @ Lyon (france)
