[2025-10-18T21:35:27.175+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-18T21:35:27.436+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:35:23.884928+00:00 [queued]>
[2025-10-18T21:35:27.493+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:35:23.884928+00:00 [queued]>
[2025-10-18T21:35:27.496+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-18T21:35:27.598+0000] {taskinstance.py:2330} INFO - Executing <Task(BashOperator): collect_jobspy> on 2025-10-18 21:35:23.884928+00:00
[2025-10-18T21:35:27.626+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=3880) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-18T21:35:27.620+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'jobs_jobspy_daily', 'collect_jobspy', 'manual__2025-10-18T21:35:23.884928+00:00', '--job-id', '87', '--raw', '--subdir', 'DAGS_FOLDER/jobs_jobspy_daily.py', '--cfg-path', '/tmp/tmp0k8o2wfu']
[2025-10-18T21:35:27.628+0000] {standard_task_runner.py:64} INFO - Started process 3881 to run task
[2025-10-18T21:35:27.629+0000] {standard_task_runner.py:91} INFO - Job 87: Subtask collect_jobspy
[2025-10-18T21:35:27.885+0000] {task_command.py:426} INFO - Running <TaskInstance: jobs_jobspy_daily.collect_jobspy manual__2025-10-18T21:35:23.884928+00:00 [running]> on host 68cd41389e54
[2025-10-18T21:35:28.469+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='jobs_jobspy_daily' AIRFLOW_CTX_TASK_ID='collect_jobspy' AIRFLOW_CTX_EXECUTION_DATE='2025-10-18T21:35:23.884928+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-18T21:35:23.884928+00:00'
[2025-10-18T21:35:28.473+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-18T21:35:28.593+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-10-18T21:35:28.602+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', "python -u /workspace/scripts/jobspy_collect.py --queries ' ,ingénieur,développeur,technicien,consultant,chef de projet,manager,responsable,architecte,cloud,devops,data,analyste,commercial,marketing,rh,comptable,finance,logistique,qualité,sécurité,full stack,frontend,backend,IA,réseau,support,stage,alternance,junior,senior' --locations 'France,Remote,Paris,Lyon,Marseille,Toulouse,Lille,Bordeaux,Nantes,Strasbourg,Montpellier,Rennes,Nice,Grenoble,Reims,Le Havre,Saint-Étienne,Toulon,Dijon,Angers,Nîmes,Clermont-Ferrand,Aix-en-Provence,Brest,Tours,Orléans,Metz,Besançon,Rouen,Perpignan' --countries 'france' --sites indeed --pages 7 --days 1 --append 1 --outfile jobspy_all.jsonl"]
[2025-10-18T21:35:28.650+0000] {subprocess.py:86} INFO - Output:
[2025-10-18T21:35:33.879+0000] {subprocess.py:93} INFO - [INFO] Output file: /workspace/datalake/raw/jobs/jobspy_all.jsonl
[2025-10-18T21:35:42.347+0000] {subprocess.py:93} INFO - [OK] 350 rows for '(all)' @ France (france)
[2025-10-18T21:35:43.221+0000] {subprocess.py:93} INFO - [OK] 6 rows for '(all)' @ Remote (france)
[2025-10-18T21:35:53.153+0000] {subprocess.py:93} INFO - [OK] 350 rows for '(all)' @ Paris (france)
[2025-10-18T21:35:59.390+0000] {subprocess.py:93} INFO - [OK] 257 rows for '(all)' @ Lyon (france)
[2025-10-18T21:36:03.417+0000] {subprocess.py:93} INFO - [OK] 122 rows for '(all)' @ Marseille (france)
[2025-10-18T21:36:08.075+0000] {subprocess.py:93} INFO - [OK] 125 rows for '(all)' @ Toulouse (france)
[2025-10-18T21:36:13.355+0000] {subprocess.py:93} INFO - [OK] 162 rows for '(all)' @ Lille (france)
[2025-10-18T21:36:16.067+0000] {subprocess.py:93} INFO - [OK] 99 rows for '(all)' @ Bordeaux (france)
[2025-10-18T21:36:18.992+0000] {subprocess.py:93} INFO - [OK] 120 rows for '(all)' @ Nantes (france)
[2025-10-18T21:36:21.212+0000] {subprocess.py:93} INFO - [OK] 85 rows for '(all)' @ Strasbourg (france)
[2025-10-18T21:36:23.338+0000] {subprocess.py:93} INFO - [OK] 83 rows for '(all)' @ Montpellier (france)
[2025-10-18T21:36:25.333+0000] {subprocess.py:93} INFO - [OK] 96 rows for '(all)' @ Rennes (france)
[2025-10-18T21:36:28.466+0000] {subprocess.py:93} INFO - [OK] 103 rows for '(all)' @ Nice (france)
[2025-10-18T21:36:31.376+0000] {subprocess.py:93} INFO - [OK] 117 rows for '(all)' @ Grenoble (france)
